alcaldia,colonia_crime,colonia_geo,match_type,matched,n_points,lat,lng
MILPA ALTA,Los Ángeles (Villa Milpa Alta),,spatial_miss,False,40,19.184323958347072,-99.02341360308357
MILPA ALTA,Malvinas Primero,,spatial_miss,False,9,19.2028751660703,-99.09785141183463
MILPA ALTA,Malvinas Segundo,,spatial_miss,False,10,19.20220763503533,-99.10072154580492
MILPA ALTA,Nochtla (San Pedro Atocpan),,spatial_miss,False,280,19.207468979946995,-99.04532969980228
MILPA ALTA,Noxcalco,,spatial_miss,False,7,19.20865851229017,-98.98273139936751
MILPA ALTA,Ocotitla (San Pedro Atocpan),,spatial_miss,False,126,19.194668681949654,-99.05435422632245
MILPA ALTA,Panchimalco (San Pedro Atocpan),Barrio Panchimalco,spatial,True,51,19.198002608791587,-99.04451154497593
MILPA ALTA,Pueblo San Antonio Tecomitl Barrio Xochitepec,Barrio Xochitepetl,spatial,True,11,19.21179492488531,-98.98802520169512
MILPA ALTA,Pueblo San Antonio Tecomitl (Las Arboledas),,spatial_miss,False,3,19.210242408917367,-98.9809363506109
MILPA ALTA,Pueblo San Antonio Tecomitl (Las Joyas),,spatial_miss,False,31,19.20808176829285,-98.98421500843351
MILPA ALTA,San Agustin (Villa Milpa Alta),,spatial_miss,False,123,19.186678358104487,-99.01662854631668
MILPA ALTA,San Isidro Cuatepec,,no_points,False,2,,
MILPA ALTA,San José (Santa Ana Tlacotenco),,spatial_miss,False,77,19.180416468854947,-99.00309316453765
MILPA ALTA,San Juan (San Pablo Oztotepec),,spatial_miss,False,212,19.183040513609924,-99.06345499984032
MILPA ALTA,San Juan Tepenahuac I,,spatial_miss,False,4,19.186974285931726,-98.99899934298732
MILPA ALTA,San Juan Tepenahuac Ii,,spatial_miss,False,37,19.18826961146936,-98.99311821562699
MILPA ALTA,San Marcos (Santa Ana Tlacotenco),Barrio San Marcos,spatial,True,87,19.169087283555783,-98.99284359990801
MILPA ALTA,San Mateo (Villa Milpa Alta),Barrio San Mateo,spatial,True,109,19.188722441238813,-99.0328639478646
MILPA ALTA,San Miguel (San Pablo Oztotepec),Barrio San Miguel,spatial,True,64,19.190390918864086,-99.07653602494136
MILPA ALTA,San Miguel (Santa Ana Tlacotenco),,spatial_miss,False,48,19.173347628363015,-99.00476586019212
MILPA ALTA,San Salvador Cuauhtenco Seccion I,,spatial_miss,False,55,19.195577208352223,-99.085960315501
MILPA ALTA,San Salvador Cuauhtenco Seccion Ii,,spatial_miss,False,6,19.187608138257442,-99.08713769993354
MILPA ALTA,San Salvador Cuauhtenco Seccion Iii,,spatial_miss,False,157,19.201185596159178,-99.09985999117002
MILPA ALTA,San Salvador Cuauhtenco Seccion Iv,Pueblo San Salvador Cuauhtenco,spatial,True,6,19.200461850195218,-99.0971220597161
MILPA ALTA,Santa Cruz (Villa Milpa Alta),,spatial_miss,False,98,19.19782917374654,-99.01366897410553
MILPA ALTA,Santa Martha (Villa Milpa Alta),Barrio Santa Martha,spatial,True,107,19.19933724533209,-99.03280451342604
MILPA ALTA,Tecaxtitla (San Antonio Tecomitl),,no_points,False,1,,
MILPA ALTA,Tecoloxtitla,,spatial_miss,False,4,19.181114508613096,-99.02453417996811
MILPA ALTA,Tenantitla (San Antonio Tecomitl),,spatial_miss,False,185,19.22007354339381,-99.00230295412845
MILPA ALTA,Tula (San Pedro Atocpan),,spatial_miss,False,83,19.20892099035423,-99.0515663756815
MILPA ALTA,Xaltipac (San Antonio Tecomitl),,spatial_miss,False,71,19.218057450937405,-98.98516786135025
TLAHUAC,Conchita A,Miguel Hidalgo,spatial,True,35,19.286847281299327,-99.04032531248392
TLAHUAC,Conchita B,,no_points,False,1,,
TLAHUAC,El Mirador - Santa Catarina,,no_points,False,1,,
TLAHUAC,Emiliano Zapata 1a Seccion,,no_points,False,1,,
TLAHUAC,Emiliano Zapata 2a Seccion,,no_points,False,1,,
TLAHUAC,La Asuncion - Barrio,La Asuncion,spatial,True,8,19.242316036573,-98.9925482508477
TLAHUAC,La Cienega,,no_points,False,2,,
TLAHUAC,La Loma,,spatial_miss,False,197,19.254968744590688,-99.00286444582163
TLAHUAC,La Soledad,Barrio La Soledad Del Pueblo  San Juan Ixtayopan,spatial,True,5,19.238210986075,-98.9941756757301
TLAHUAC,Las Puertas - Barrio,Pueblo San Francisco Tlaltenco,spatial,True,10,19.29036263248632,-99.01804956646845
TLAHUAC,Los Reyes (Del Pueblo De San Andrés Mixquic),Barrio Los Reyes,spatial,True,24,19.22987311947179,-98.96745514927576
TLAHUAC,Paraiso Santa Catarina,,no_points,False,1,,
TLAHUAC,San Bartolomé (Del Pueblo De San Andrés Mixquic),,no_points,False,2,,
TLAHUAC,San Ignacio De Loyola,,no_points,False,2,,
TLAHUAC,San Isidro Tulyehualco,,no_points,False,1,,
TLAHUAC,San Miguel (Del Pueblo De San Andrés Mixquic),Barrio San Miguel,spatial,True,10,19.2212575991187,-98.96440061644542
TLAHUAC,San Miguel Zapotitla,Barrio San Miguel,spatial,True,61,19.30684521964452,-99.03339153839302
TLAHUAC,Santa Cruz (Del Pueblo De San Andrés Mixquic),Barrio Santa Cruz,spatial,True,20,19.22451640347946,-98.95098948254069
TLAHUAC,Santa Maria De Los Olivos - Barrio,,spatial_miss,False,172,19.244312732383822,-99.01007444181508
TLAHUAC,Selene 1a. Seccion,,spatial_miss,False,9,19.2968569347038,-98.99798250397168
TLAHUAC,Selene 2a. Seccion,,spatial_miss,False,3,19.284010680559934,-98.999446331562
TLAHUAC,Zona De Reserva Ecologica,,spatial_miss,False,20,19.281199920889364,-98.99460850578997
TLALPAN,Cuchilla Tepeximilpa,,spatial_miss,False,9,19.26975355456468,-99.19208516529314
TLALPAN,Dr. Ignacio Chávez Infonavit,,spatial_miss,False,5,19.29498975750442,-99.10168645463068
TLALPAN,Fovissste Periférico,,no_points,False,1,,
TLALPAN,Lomas De Tepemecatl,Heroes De 1910,spatial,True,107,19.240289793339645,-99.23310451161639
TLALPAN,Los Arcos,,spatial_miss,False,24,19.194321760659715,-99.15429880794899
TLALPAN,Ocotla - Ocotla Chico,,no_points,False,1,,
TLALPAN,Otra,,no_points,False,2,,
TLALPAN,Paraje Tetenco,,spatial_miss,False,9,19.26293092593061,-99.1815196223687
TLALPAN,Pedregal De Aminco,,spatial_miss,False,11,19.202364260673,-99.13373566123356
TLALPAN,Piedra Larga,,no_points,False,1,,
TLALPAN,Pista Olimpica Virgilio Uribe (Canal De Cuemanco),,no_points,False,1,,
TLALPAN,San Miguel Tehuisco,,no_points,False,2,,
TLALPAN,San Nicolás 2,,spatial_miss,False,437,19.267779778350103,-99.2366875324426
TLALPAN,Solidaridad,,spatial_miss,False,67,19.264841197689336,-99.22848902101316
TLALPAN,Tepeximilpa Servimet,,no_points,False,1,,
